,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3356,1237299,FY2000-JEFF DAVIS-039,2000-02-25,B,Human,2000-02-25,2.25,31.9267,-82.5587,GA,2000,2,56,2000.0,2.0,56.0,,7.2,23.9,0.0,0.0,,,,,,39.3
3357,739983,,1994-03-23,B,Missing data/not specified/undetermined,1994-03-23,3.0,34.99583333,-81.99166667,SC,1994,3,82,1994.0,3.0,82.0,15.3,3.3,25.0,0.0,0.0,,15.8,50.0,1017.4,579.0,89.5
3358,1284159,CRYING BLUE GOAT,2008-08-18,B,Natural,2008-09-26,0.3,48.6974,-119.6338,WA,2008,8,231,2008.0,9.0,270.0,28.7,18.9,36.7,0.0,,,16.8,,1002.9,,0.0
3359,1328403,,2003-05-15,B,Human,2003-05-15,2.0,44.47687127,-75.7247615,NY,2003,5,135,2003.0,5.0,135.0,13.3,7.0,19.6,0.0,0.0,,,,,,56.00000000000001
3360,2182044,ADRIAN CITY FD 0001212 - 2019,2019-04-07,B,Natural,,1.0,41.90169,-84.02586,MI,2019,4,97,,,,12.9,5.0,21.1,0.0,,,11.9,,1015.3,,36.8
3361,1352693,,1995-09-11,B,Natural,,1.0,43.787389,-74.322042,NY,1995,9,254,,,,,1.1,20.6,0.0,0.0,,,,,,42.8
3362,1883222,ELK HILL,2016-04-09,F,Human,,1089.0,47.68166667,-112.86666667,MT,2016,4,100,,,,12.8,5.0,16.1,0.0,0.0,,25.6,,,,7.699999999999999
3363,2040858,TIPTON,2017-12-30,A,Missing data/not specified/undetermined,,0.1,35.54282,-114.3619,AZ,2017,12,364,,,,12.8,5.0,21.0,0.0,,,2.9,,,,0.0
3364,1997149,HODGDON,2017-04-17,A,Human,2017-04-17,0.2,44.250128,-68.367606,ME,2017,4,107,2017.0,4.0,107.0,10.2,6.7,13.9,0.0,,325.0,12.5,,1010.4,,0.0
3365,1226424,20036,2003-01-20,C,Human,2003-01-20,10.0,35.13885001,-95.35385002,OK,2003,1,20,2003.0,1.0,20.0,13.5,7.2,21.1,0.0,,190.0,18.2,,1013.6,,0.0
3366,1985934,UNKNOWN,2017-07-04,A,Human,2017-07-04,0.01,38.8169,-104.8678,CO,2017,7,185,2017.0,7.0,185.0,23.7,12.8,32.8,0.0,0.0,26.0,17.6,,1013.9,,28.299999999999997
