,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1892,2011-02-19,B,Human,Debris and open burning,1.0,35.14821667,-76.76135,0.0,8.0,0.0,0.0,15.20847225189209,2.0247344970703125,291.66522216796875,1337.33740234375,131.140625,0.0,0.0,0.0
1893,2008-11-02,C,Human,Arson/incendiarism,35.0,34.95989,-92.67138,,,,,,,,,,,,
1894,1999-03-20,B,Human,Debris and open burning,2.0,37.3533,-88.3336,,,,,,,,,,,,
1895,1995-04-02,B,Human,Debris and open burning,2.95,31.3616,-84.0957,,,,,,,,,,,,
1896,2012-03-27,B,Human,Arson/incendiarism,1.0,45.27778,-91.0522,10.0,5.0,6.0,3.0,3.846196174621582,-10.289852142333984,269.4627685546875,1292.30712890625,7.1875,0.527099609375,0.0,0.0
1897,1992-05-05,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.5,33.60833333,-80.09583333,,,,,,,,,,,,
1898,1992-06-20,A,Human,Arson/incendiarism,0.1,33.3501,-110.4507,,,,,,,,,,,,
1899,2009-07-02,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.3,36.970223,-121.97267,,,,,,,,,,,,
1900,2007-08-22,B,Human,Debris and open burning,1.0,34.414278,-117.077747,,,,,,,,,,,,
1901,2005-03-08,B,Human,Arson/incendiarism,3.75,30.83838,-88.40449,,,,,,,,,,,,
1902,2004-08-03,A,Natural,Natural,0.1,47.06490001,-111.90399999,,,,,,,,,,,,
1903,1994-05-06,C,Human,Missing data/not specified/undetermined,30.0,33.052,-111.7699,,,,,,,,,,,,
1904,2003-06-25,B,Human,Arson/incendiarism,1.5,38.59111111,-121.12305555,,,,,,,,,,,,
1905,2009-03-01,C,Human,Arson/incendiarism,12.0,31.079159,-88.013364,,,,,,,,,,,,
1906,1997-04-09,A,Human,Debris and open burning,0.1,43.35344,-89.559273,,,,,,,,,,,,
1907,2006-03-18,C,Human,Debris and open burning,30.17,31.53869912,-83.30047726,,,,,,,,,,,,
1908,2004-04-04,B,Human,Debris and open burning,3.0,33.92611002,-81.49028,,,,,,,,,,,,
1909,2000-03-24,A,Human,Debris and open burning,0.1,33.6925,-83.3242,,,,,,,,,,,,
1910,2006-02-26,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,6.0,37.10862999,-83.79034998,,,,,,,,,,,,
1911,2009-01-12,A,Human,Arson/incendiarism,0.1,34.688169,-88.078154,,,,,,,,,,,,
1912,2011-08-23,A,Natural,Natural,0.1,40.88777778,-110.08777778,15.0,16.0,16.0,2.0,2.2085113525390625,-5.3009796142578125,293.15283203125,565.060546875,0.0,0.0,0.0,0.0
1913,2009-07-25,C,Natural,Natural,12.0,29.67583,-83.08083,,,,,,,,,,,,
1914,2019-08-29,D,Human,Debris and open burning,160.0,34.9553,-102.1054,11.0,8.0,13.0,2.0,,,,,,,,
1915,2001-06-10,B,Human,Missing data/not specified/undetermined,0.5,39.82083,-74.95416,,,,,,,,,,,,
1916,2012-11-03,A,Missing data/not specified/undetermined,Missing data/not specified/undetermined,0.25,33.038483,-116.870335,30.0,49.0,30.0,3.0,11.689865112304688,-0.756072998046875,291.95013427734375,1074.856689453125,123.1875,0.0,0.0,0.0
